"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Fragile and conflict affected situations","FCS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163730","162602","165714","171947","171448","173215","176073","174707","175293","179070","175517","174761","173819","172776","171988","171553","170981","170845","178670","172168","191356","175310","180108","184061","186920","188514","189032","189443","190443","190325","189578","",
"Finland","FIN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212","198","186","176","168","163","160","159","159","159","159","157","153","148","145","143","143","143","142","139","132","123","113","103","96","93","93","96","102","108","115","",
"Fiji","FJI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","97","98","99","100","101","102","103","103","103","102","100","96","92","88","84","82","81","80","79","78","76","73","69","66","64","63","62","62","62","62","",
"France","FRA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2378","2262","2127","1988","1869","1793","1762","1770","1793","1804","1777","1705","1603","1494","1393","1307","1234","1175","1128","1085","1041","983","927","881","852","836","824","819","819","822","822","",
"Faroe Islands","FRO","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","15","15","16","16","17","17","16","16","16","16","16","16","16","15","15","15","14","14","14","14","14","13","13","13","13","13","12","12","11","11","",
"Gabon","GAB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175","189","203","218","233","247","260","272","283","294","305","314","323","330","335","338","340","338","333","327","319","316","313","308","300","291","284","279","276","274","273","",
"United Kingdom","GBR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1978","1839","1712","1609","1539","1509","1512","1522","1523","1518","1515","1534","1539","1524","1498","1471","1453","1418","1359","1272","1163","1063","993","959","943","931","928","931","941","950","953","",
"Georgia","GEO","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","281","363","425","293","240","191","173","177","187","192","186","171","152","137","129","128","137","180","151","139","125","120","123","131","139","141","133","121","113","110","",
"Ghana","GHA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4171","4136","4095","4044","4012","3981","3949","3946","3979","4038","4126","4219","4340","4453","4555","4639","4706","4755","4773","4789","4813","4830","4855","4887","4907","4900","4874","4827","4771","4729","4663","",
"Gibraltar","GIB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2433","2470","2517","2578","2655","2747","2831","2939","3065","3198","3331","3422","3505","3576","3645","3714","3733","3771","3813","3864","3923","3946","3981","4016","4070","4119","4129","4126","4115","4097","4070","",
"Gambia, The","GMB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","339","340","344","348","350","352","357","361","364","368","373","381","391","399","407","412","417","422","427","429","430","429","427","424","421","418","416","413","412","413","414","",
"Guinea-Bissau","GNB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","431","440","448","456","465","474","482","547","609","585","514","515","514","512","509","507","503","498","493","488","481","474","467","460","456","453","450","448","448","448","449","",
